date,home_team,away_team,home_score,away_score,tournament,neutral
2022-02-26,Philadelphia Union,Minnesota United,1,1,mls,FALSE
2022-02-26,Columbus Crew,Vancouver Whitecaps,4,0,mls,FALSE
2022-02-26,Los Angeles FC,Colorado Rapids,3,0,mls,FALSE
2022-02-26,FC Dallas,Toronto,1,1,mls,FALSE
2022-02-26,San Jose Earthquakes,New York Red Bulls,1,3,mls,FALSE
2022-02-26,DC United,Charlotte,3,0,mls,FALSE
2022-02-26,Inter Miami,Chicago Fire,0,0,mls,FALSE
2022-02-26,Austin,FC Cincinnati,5,0,mls,FALSE
2022-02-27,Portland Timbers,New England Revolution,2,2,mls,FALSE
2022-02-27,Orlando City SC,CF Montreal,2,0,mls,FALSE
2022-02-27,Atlanta United,Sporting Kansas City,3,1,mls,FALSE
2022-02-27,Los Angeles Galaxy,New York City,1,0,mls,FALSE
2022-02-28,Houston Dynamo,Real Salt Lake,0,0,mls,FALSE
2022-02-28,Seattle Sounders,Nashville SC,0,1,mls,FALSE
2022-03-05,New England Revolution,FC Dallas,1,0,mls,FALSE
2022-03-05,Toronto,New York Red Bulls,1,4,mls,FALSE
2022-03-05,Sporting Kansas City,Houston Dynamo,1,0,mls,FALSE
2022-03-05,CF Montreal,Philadelphia Union,1,2,mls,FALSE
2022-03-05,San Jose Earthquakes,Columbus Crew,3,3,mls,FALSE
2022-03-05,Vancouver Whitecaps,New York City,0,0,mls,FALSE
2022-03-05,Real Salt Lake,Seattle Sounders,1,0,mls,FALSE
2022-03-05,Chicago Fire,Orlando City SC,0,0,mls,FALSE
2022-03-05,Colorado Rapids,Atlanta United,3,0,mls,FALSE
2022-03-05,Minnesota United,Nashville SC,1,1,mls,FALSE
2022-03-05,FC Cincinnati,DC United,0,1,mls,FALSE
2022-03-06,Charlotte,Los Angeles Galaxy,0,1,mls,FALSE
2022-03-06,Austin,Inter Miami,5,1,mls,FALSE
2022-03-07,Los Angeles FC,Portland Timbers,1,1,mls,FALSE
2022-03-12,New York City,CF Montreal,4,1,mls,FALSE
2022-03-12,Columbus Crew,Toronto,2,1,mls,FALSE
2022-03-12,Inter Miami,Los Angeles FC,0,2,mls,FALSE
